chmdgmoo,"Pokemon?","Jigglypuff? What are you doing here?",http://media2.giphy.com/media/DW58L1pbminPq/200.gif
0hj1vx3h,"Patriot Nyan","An epic July 4th themed Nyan Cat party",http://media3.giphy.com/media/YulWrx5rfGkUw/200.gif
1g5v314h,"Real Cat?","What happens when you mix nyan with real cat",http://media.giphy.com/media/ktW8FqKodoPUk/giphy.gif
g1e0967k,"BeerCat","What's gone on with this one?",http://media2.giphy.com/media/NzeQYvVLbZFE4/200.gif
vxiehpcf,"The Chase","What could be so important?",http://media1.giphy.com/media/JwW4oYd3Wjv6E/200.gif
y4e4g0kt,"Tail Propeller","I think it's trying to go somewhere...",http://media3.giphy.com/media/Mhy9hKgfwI0lG/200.gif
ii3hb8vp,"Massage your mind...","...And embrace the soul",http://media2.giphy.com/media/brRWBSKoc9ueI/200.gif
3pkrw9g8,"Watermelon","this is kinda how I, Mr. Tinkles, eats Watermelon.",http://media1.giphy.com/media/7AbrISbC4ZOIU/200.gif
8he2v3z4,"Crazy Cat","ALmost sees it!",http://media2.giphy.com/media/wkQBJb1iCUaUE/200.gif
dzoe9q8m,"Pisa Cat","Wouldn't it be great to have this superhero around all the time?",http://media0.giphy.com/media/QBtzAnMFO5i9O/200.gif
6kog1kq1,"Grumpy Cat","In need of a timeout",http://media2.giphy.com/media/CHc9dLQVQOAXm/200.gif
uwk0n1we,"Grumpy Cat x2","Better feed it extra tasty gourmet cat food soon...",http://media2.giphy.com/media/YYKYunpi2kSd2/200.gif
rr4biqji,"By the beach","On vacation in SF",http://media3.giphy.com/media/hcrezmYwSLNGE/200.gif
imf4i20p,"Sometimes I'm tired...","Too...many...psets...not..enough...time",http://media3.giphy.com/media/6uMqzcbWRhoT6/200.gif
ep3oxc6f,"Wiper","Don't do this while you're driving",http://media1.giphy.com/media/OHqm1LkDRetW0/200.gif